time_s,qpos,qpos_unshifted,qvel,qact,target_qvel,kp,kd
1.357,-0.710688591003418,-0.710688591003418,-0.9494514465332031,-0.9007740506053978,-1.3643539009157735,10.0,1.0
1.358,-0.7118330001831055,-0.7118330001831055,-0.9846153259277344,-0.9021339593682028,-1.3554569138185002,10.0,1.0
1.359,-0.7125959396362305,-0.7125959396362305,-0.9318675994873047,-0.9034849644330347,-1.3465465489084067,10.0,1.0
1.36,-0.713740348815918,-0.713740348815918,-0.9230766296386719,-0.9048270524660198,-1.3376228941274917,10.0,1.0
1.361,-0.714503288269043,-0.714503288269043,-0.9494514465332031,-0.9061602102212896,-1.3286860375486071,10.0,1.0
1.362,-0.7156476974487305,-0.7156476974487305,-0.8791217803955078,-0.907484424541117,-1.3197360673752314,10.0,1.0
1.363,-0.7164106369018555,-0.7164106369018555,-0.8967037200927734,-0.90879968235604,-1.310773071939252,10.0,1.0
1.364,-0.7171735763549805,-0.7171735763549805,-0.8087921142578125,-0.9101059706849955,-1.3017971397025576,10.0,1.0
1.365,-0.7179365158081055,-0.7179365158081055,-0.8175830841064453,-0.9114032766354451,-1.2928083592536268,10.0,1.0
1.366,-0.7190818786621094,-0.7190818786621094,-0.8527469635009766,-0.9126915874035029,-1.2838068193080971,10.0,1.0
1.367,-0.7194633483886719,-0.7194633483886719,-0.7999992370605469,-0.9139708902740612,-1.274792608707287,10.0,1.0
1.368,-0.7206077575683594,-0.7206077575683594,-0.8351650238037109,-0.9152411726209175,-1.2657658164183658,10.0,1.0
1.369,-0.7213706970214844,-0.7213706970214844,-0.7824172973632812,-0.9165024219068978,-1.2567265315318537,10.0,1.0
1.37,-0.7221336364746094,-0.7221336364746094,-0.8351650238037109,-0.9177546256839813,-1.2476748432618479,10.0,1.0
1.371,-0.7228965759277344,-0.7228965759277344,-0.8967037200927734,-0.9189977715934214,-1.2386108409445455,10.0,1.0
1.372,-0.7236595153808594,-0.7236595153808594,-0.8263740539550781,-0.9202318473658704,-1.2295346140384709,10.0,1.0
1.373,-0.7248039245605469,-0.7248039245605469,-0.8439559936523438,-0.9214568408214984,-1.2204462521222013,10.0,1.0
1.374,-0.7255668640136719,-0.7255668640136719,-0.7912082672119141,-0.922672739870115,-1.2113458448940833,10.0,1.0
1.375,-0.7263298034667969,-0.7263298034667969,-0.7912082672119141,-0.9238795325112865,-1.2022334821714935,10.0,1.0
1.3760000000000001,-0.7270927429199219,-0.7270927429199219,-0.8439559936523438,-0.925077206834458,-1.193109253890043,10.0,1.0
1.377,-0.7278556823730469,-0.7278556823730469,-0.7560443878173828,-0.9262657510190666,-1.183973250101701,10.0,1.0
1.3780000000000001,-0.7286186218261719,-0.7286186218261719,-0.8263740539550781,-0.9274451533346615,-1.1748255609753073,10.0,1.0
1.379,-0.7293815612792969,-0.7293815612792969,-0.7648353576660156,-0.9286154021410171,-1.1656662767949229,10.0,1.0
1.3800000000000001,-0.7301445007324219,-0.7301445007324219,-0.7384624481201172,-0.9297764858882515,-1.1564954879593188,10.0,1.0
1.381,-0.7309074401855469,-0.7309074401855469,-0.7912082672119141,-0.9309283931169358,-1.1473132849796457,10.0,1.0
1.3820000000000001,-0.7316703796386719,-0.7316703796386719,-0.7208786010742188,-0.9320711124582108,-1.1381197584813663,10.0,1.0
1.383,-0.7324333190917969,-0.7324333190917969,-0.7560443878173828,-0.9332046326338984,-1.1289149992006173,10.0,1.0
1.3840000000000001,-0.7331962585449219,-0.7331962585449219,-0.7208786010742188,-0.9343289424566121,-1.119699097984494,10.0,1.0
1.385,-0.7339591979980469,-0.7339591979980469,-0.6505489349365234,-0.9354440308298674,-1.1104721457900268,10.0,1.0
1.3860000000000001,-0.7343406677246094,-0.7343406677246094,-0.6505489349365234,-0.9365498867481923,-1.1012342336841812,10.0,1.0
1.387,-0.7351036071777344,-0.7351036071777344,-0.6769237518310547,-0.9376464992972355,-1.0919854528409587,10.0,1.0
1.3880000000000001,-0.7358665466308594,-0.7358665466308594,-0.6505489349365234,-0.9387338576538742,-1.0827258945421363,10.0,1.0
1.389,-0.7366294860839844,-0.7366294860839844,-0.7120876312255859,-0.9398119510863198,-1.0734556501756174,10.0,1.0
1.3900000000000001,-0.7373924255371094,-0.7373924255371094,-0.7032966613769531,-0.9408807689542255,-1.0641748112354321,10.0,1.0
1.391,-0.7377738952636719,-0.7377738952636719,-0.6769237518310547,-0.9419403007087905,-1.0548834693195204,10.0,1.0
1.3920000000000001,-0.7385368347167969,-0.7385368347167969,-0.7296695709228516,-0.9429905358928646,-1.045581716129675,10.0,1.0
1.393,-0.7392997741699219,-0.7392997741699219,-0.8087921142578125,-0.9440314641410499,-1.0362696434701206,10.0,1.0
1.3940000000000001,-0.7400627136230469,-0.7400627136230469,-0.7208786010742188,-0.9450630751798049,-1.0269473432477412,10.0,1.0
1.395,-0.7408256530761719,-0.7408256530761719,-0.7736263275146484,-0.9460853588275453,-1.0176149074697491,10.0,1.0
1.3960000000000001,-0.7415885925292969,-0.7415885925292969,-0.7296695709228516,-0.9470983049947445,-1.008272428243231,10.0,1.0
1.397,-0.7423515319824219,-0.7423515319824219,-0.6769237518310547,-0.9481019036840318,-0.99891999777509,10.0,1.0
1.3980000000000001,-0.7431144714355469,-0.7431144714355469,-0.7032966613769531,-0.9490961449902947,-0.9895577083700005,10.0,1.0
1.399,-0.7438774108886719,-0.7438774108886719,-0.7032966613769531,-0.9500810191007717,-0.9801856524293839,10.0,1.0
1.4000000000000001,-0.7442588806152344,-0.7442588806152344,-0.6681327819824219,-0.9510565162951535,-0.9708039224524896,10.0,1.0
1.401,-0.7450218200683594,-0.7450218200683594,-0.7384624481201172,-0.9520226269456765,-0.9614126110326993,10.0,1.0
1.4020000000000001,-0.7457847595214844,-0.7457847595214844,-0.6769237518310547,-0.952979341517219,-0.9520118108585507,10.0,1.0
1.403,-0.7465476989746094,-0.7465476989746094,-0.6681327819824219,-0.9539266505673936,-0.9426016147119185,10.0,1.0
1.4040000000000001,-0.7473106384277344,-0.7473106384277344,-0.6857147216796875,-0.954864544746643,-0.9331821154682416,10.0,1.0
1.405,-0.7480735778808594,-0.7480735778808594,-0.7120876312255859,-0.95579301479833,-0.9237534060938515,10.0,1.0
1.4060000000000001,-0.7484550476074219,-0.7484550476074219,-0.5978031158447266,-0.9567120515588307,-0.9143155796461997,10.0,1.0
1.407,-0.7492179870605469,-0.7492179870605469,-0.6329669952392578,-0.9576216459576223,-0.9048687292725504,10.0,1.0
1.408,-0.7495994567871094,-0.7495994567871094,-0.5978031158447266,-0.9585217890173756,-0.8954129482101507,10.0,1.0
1.409,-0.7503623962402344,-0.7503623962402344,-0.5274734497070312,-0.9594124718540428,-0.8859483297836732,10.0,1.0
1.41,-0.7507438659667969,-0.7507438659667969,-0.5186805725097656,-0.960293685676943,-0.8764749674045333,10.0,1.0
1.411,-0.7511253356933594,-0.7511253356933594,-0.5362644195556641,-0.961165421788852,-0.8669929545714012,10.0,1.0
1.412,-0.7518882751464844,-0.7518882751464844,-0.5362644195556641,-0.9620276715860857,-0.8575023848677006,10.0,1.0
1.413,-0.7522697448730469,-0.7522697448730469,-0.5186805725097656,-0.9628804265585875,-0.8480033519620065,10.0,1.0
1.414,-0.7530326843261719,-0.7530326843261719,-0.5274734497070312,-0.9637236782900096,-0.8384959496052034,10.0,1.0
1.415,-0.7534141540527344,-0.7534141540527344,-0.5890102386474609,-0.964557418457798,-0.8289802716321333,10.0,1.0
1.416,-0.7541770935058594,-0.7541770935058594,-0.5538463592529297,-0.9653816388332738,-0.8194564119583561,10.0,1.0
1.417,-0.7545585632324219,-0.7545585632324219,-0.5098896026611328,-0.9661963312817148,-0.8099244645806607,10.0,1.0
1.418,-0.7549400329589844,-0.7549400329589844,-0.5802192687988281,-0.967001487762435,-0.8003845235751896,10.0,1.0
1.419,-0.7557029724121094,-0.7557029724121094,-0.6065940856933594,-0.9677971003288653,-0.790836683098064,10.0,1.0
1.42,-0.7564659118652344,-0.7564659118652344,-0.6153850555419922,-0.968583161128631,-0.7812810373820298,10.0,1.0
1.421,-0.7568473815917969,-0.7568473815917969,-0.5098896026611328,-0.9693596624036294,-0.7717176807374244,10.0,1.0
1.422,-0.7572288513183594,-0.7572288513183594,-0.5626373291015625,-0.9701265964901058,-0.7621467075508122,10.0,1.0
1.423,-0.7579917907714844,-0.7579917907714844,-0.5186805725097656,-0.970883955818731,-0.7525682122840749,10.0,1.0
1.424,-0.7583732604980469,-0.7583732604980469,-0.47472572326660156,-0.9716317329146739,-0.7429822894727636,10.0,1.0
1.425,-0.7587547302246094,-0.7587547302246094,-0.4483509063720703,-0.9723699203976767,-0.7333890337263256,10.0,1.0
1.426,-0.7591361999511719,-0.7591361999511719,-0.4307689666748047,-0.9730985109821264,-0.7237885397260584,10.0,1.0
1.427,-0.7595176696777344,-0.7595176696777344,-0.4395599365234375,-0.9738174974771289,-0.7141809022253938,10.0,1.0
1.428,-0.7602806091308594,-0.7602806091308594,-0.47472572326660156,-0.9745268727865771,-0.704566216047283,10.0,1.0
1.429,-0.7606620788574219,-0.7606620788574219,-0.4307689666748047,-0.9752266299092235,-0.6949445760851063,10.0,1.0
1.43,-0.7610435485839844,-0.7610435485839844,-0.4307689666748047,-0.9759167619387472,-0.6853160773005129,10.0,1.0
1.431,-0.7614250183105469,-0.7614250183105469,-0.5010986328125,-0.9765972620638246,-0.6756808147231368,10.0,1.0
1.432,-0.7621879577636719,-0.7621879577636719,-0.4923076629638672,-0.9772681235681934,-0.6660388834485502,10.0,1.0
1.433,-0.7625694274902344,-0.7625694274902344,-0.46593475341796875,-0.9779293398307217,-0.6563903786393439,10.0,1.0
1.434,-0.7629508972167969,-0.7629508972167969,-0.46593475341796875,-0.978580904325472,-0.6467353955220005,10.0,1.0
1.435,-0.7633323669433594,-0.7633323669433594,-0.5010986328125,-0.9792228106217657,-0.6370740293875201,10.0,1.0
1.436,-0.7640953063964844,-0.7640953063964844,-0.5098896026611328,-0.9798550523842469,-0.6274063755892598,10.0,1.0
1.437,-0.7644767761230469,-0.7644767761230469,-0.5010986328125,-0.9804776233729443,-0.6177325295435594,10.0,1.0
1.438,-0.7648582458496094,-0.7648582458496094,-0.41318702697753906,-0.981090517443334,-0.6080525867272399,10.0,1.0
1.439,-0.7652397155761719,-0.7652397155761719,-0.46593475341796875,-0.9816937285463989,-0.5983666426774334,10.0,1.0
1.44,-0.7656211853027344,-0.7656211853027344,-0.4395599365234375,-0.9822872507286887,-0.5886747929901048,10.0,1.0
1.441,-0.7663841247558594,-0.7663841247558594,-0.40439605712890625,-0.9828710781323792,-0.5789771333205067,10.0,1.0
1.442,-0.7667655944824219,-0.7667655944824219,-0.3604393005371094,-0.9834452049953296,-0.5692737593802804,10.0,1.0
1.443,-0.7667655944824219,-0.7667655944824219,-0.33406639099121094,-0.9840096256511398,-0.5595647669379673,10.0,1.0
1.444,-0.7671470642089844,-0.7671470642089844,-0.3252754211425781,-0.9845643345292054,-0.549850251816963,10.0,1.0
1.445,-0.7675285339355469,-0.7675285339355469,-0.3076915740966797,-0.9851093261547739,-0.5401303098963126,10.0,1.0
1.446,-0.7679100036621094,-0.7679100036621094,-0.3076915740966797,-0.9856445951489979,-0.5304050371074709,10.0,1.0
1.447,-0.7682914733886719,-0.7682914733886719,-0.3076915740966797,-0.9861701362289889,-0.5206745294350412,10.0,1.0
1.448,-0.7686729431152344,-0.7686729431152344,-0.3252754211425781,-0.9866859442078679,-0.5109388829150703,10.0,1.0
1.449,-0.7686729431152344,-0.7686729431152344,-0.2989006042480469,-0.9871920139948192,-0.5011981936349343,10.0,1.0
1.45,-0.7690544128417969,-0.7690544128417969,-0.28131866455078125,-0.9876883405951377,-0.4914525577306108,10.0,1.0
1.451,-0.7694358825683594,-0.7694358825683594,-0.3252754211425781,-0.9881749191102804,-0.48170207138821297,10.0,1.0
1.452,-0.7698173522949219,-0.7698173522949219,-0.34285736083984375,-0.988651744737914,-0.47194683084063627,10.0,1.0
1.453,-0.7701988220214844,-0.7701988220214844,-0.3604393005371094,-0.9891188127719618,-0.4621869323685246,10.0,1.0
1.454,-0.7701988220214844,-0.7701988220214844,-0.33406639099121094,-0.9895761186026509,-0.4524224722978829,10.0,1.0
1.455,-0.7705802917480469,-0.7705802917480469,-0.33406639099121094,-0.9900236577165575,-0.44265354700013404,10.0,1.0
1.456,-0.7709617614746094,-0.7709617614746094,-0.33406639099121094,-0.9904614256966512,-0.43288025289058396,10.0,1.0
1.457,-0.7713432312011719,-0.7713432312011719,-0.35164833068847656,-0.9908894182223388,-0.4231026864276828,10.0,1.0
1.458,-0.7717247009277344,-0.7717247009277344,-0.35164833068847656,-0.9913076310695066,-0.41332094411194475,10.0,1.0
1.459,-0.7721061706542969,-0.7721061706542969,-0.3604393005371094,-0.9917160601105628,-0.40353512248566403,10.0,1.0
1.46,-0.7724876403808594,-0.7724876403808594,-0.3604393005371094,-0.9921147013144778,-0.3937453181304136,10.0,1.0
1.461,-0.7728691101074219,-0.7728691101074219,-0.35164833068847656,-0.9925035507468237,-0.3839516276680115,10.0,1.0
1.462,-0.7732505798339844,-0.7732505798339844,-0.29010963439941406,-0.9928826045698137,-0.37415414775779254,10.0,1.0
1.463,-0.7732505798339844,-0.7732505798339844,-0.2989006042480469,-0.9932518590423394,-0.36435297509740394,10.0,1.0
1.464,-0.7736320495605469,-0.7736320495605469,-0.3076915740966797,-0.9936113105200084,-0.35454820642013374,10.0,1.0
1.465,-0.7740135192871094,-0.7740135192871094,-0.29010963439941406,-0.9939609554551797,-0.344739938495195,10.0,1.0
1.466,-0.7743949890136719,-0.7743949890136719,-0.2989006042480469,-0.9943007903969988,-0.33492826812630483,10.0,1.0
1.467,-0.7747764587402344,-0.7747764587402344,-0.28131866455078125,-0.9946308119914323,-0.3251132921507178,10.0,1.0
1.468,-0.7747764587402344,-0.7747764587402344,-0.24615478515625,-0.9949510169813002,-0.31529510743797573,10.0,1.0
1.469,-0.7751579284667969,-0.7751579284667969,-0.21977996826171875,-0.9952614022063083,-0.3054738108899073,10.0,1.0
1.47,-0.7751579284667969,-0.7751579284667969,-0.22857093811035156,-0.99556196460308,-0.29564949943863894,10.0,1.0
1.471,-0.7755393981933594,-0.7755393981933594,-0.21098899841308594,-0.9958527012051857,-0.2858222700462534,10.0,1.0
1.472,-0.7755393981933594,-0.7755393981933594,-0.20219802856445312,-0.9961336091431725,-0.275992219703312,10.0,1.0
1.473,-0.7759208679199219,-0.7759208679199219,-0.1934070587158203,-0.9964046856445924,-0.26615944542874104,10.0,1.0
1.474,-0.7759208679199219,-0.7759208679199219,-0.1846160888671875,-0.9966659280340299,-0.25632404426772837,10.0,1.0
1.475,-0.7763023376464844,-0.7763023376464844,-0.15824127197265625,-0.996917333733128,-0.24648611329212144,10.0,1.0
1.476,-0.7763023376464844,-0.7763023376464844,-0.1758251190185547,-0.9971589002606139,-0.23664574959781248,10.0,1.0
1.477,-0.7766838073730469,-0.7766838073730469,-0.1846160888671875,-0.9973906252323237,-0.2268030503057048,10.0,1.0
1.478,-0.7766838073730469,-0.7766838073730469,-0.1846160888671875,-0.9976125063612252,-0.21695811255887065,10.0,1.0
